page_path,selector_context,current_remote_url,proposed_local_path,alt_text
case-studies/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1497366754035-f200968a6e72?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-legal-team-reviewing-documents-in-a-modern-office.jpg,Legal team reviewing documents in a modern office
case-studies/index.html,img:nth-of-type(2),https://images.unsplash.com/photo-1516549655169-df83a0774514?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-hospital-it-and-clinical-staff-collaborating-around-a-workst.jpg,Hospital IT and clinical staff collaborating around a workstation
case-studies/index.html,img:nth-of-type(3),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-product-and-engineering-team-planning-e-commerce-platform-de.jpg,Product and engineering team planning e-commerce platform delivery
fr/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1552664730-d307ca884978?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-nestego-team-collaborating-with-montreal-clients.jpg,Nestego team collaborating with Montreal clients
fr/index.html,img:nth-of-type(10),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-website-analytics-dashboard-on-laptop.jpg,Website analytics dashboard on laptop
fr/index.html,img:nth-of-type(2),https://images.unsplash.com/photo-1497366754035-f200968a6e72?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-legal-team-reviewing-documents-in-a-modern-office.jpg,Équipe juridique en réunion dans un bureau moderne
fr/index.html,img:nth-of-type(3),https://images.unsplash.com/photo-1516549655169-df83a0774514?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-hospital-it-and-clinical-staff-collaborating-around-a-workst.jpg,Personnel clinique et TI autour d’un poste de travail
fr/index.html,img:nth-of-type(4),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-product-and-engineering-team-planning-e-commerce-platform-de.jpg,Équipe produit planifiant l’évolution d’une plateforme e-commerce
fr/index.html,img:nth-of-type(8),https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-concept-d-assistance-ia-avec-robot-et-ordinateur-portable.jpg,Concept d'assistance IA avec robot et ordinateur portable
fr/index.html,img:nth-of-type(9),https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-business-strategy-meeting-in-montreal-office.jpg,Business strategy meeting in Montreal office
fr/realisations/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1497366754035-f200968a6e72?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-legal-team-reviewing-documents-in-a-modern-office.jpg,Équipe juridique en réunion dans un bureau moderne
fr/realisations/index.html,img:nth-of-type(2),https://images.unsplash.com/photo-1516549655169-df83a0774514?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-hospital-it-and-clinical-staff-collaborating-around-a-workst.jpg,Personnel clinique et TI autour d’un poste de travail
